0,1
What is Irancell?,Irancell is the Irancell Telecommunications Services Company.
Who is the Auctioneer in Irancell's golden numbers auction?,The Auctioneer in Irancell's golden numbers auction is Irancell Telecommunications Services Company.
"Define ""Subscriber"" in Irancell's terms and conditions.","""Subscriber"" refers to any natural person granted the right to use the SIM Card and connect via Irancell network upon registration and acceptance of the Master Subscriber Agreement."
"What is a ""Bidder"" in Irancell's golden numbers auction?","A ""Bidder"" is either an Irancell prepaid or postpaid subscriber participating in the auction for Golden Numbers by entering the auction portal and registering their bid."
"Explain the term ""Golden Number"" in Irancell's context.","""Golden Number"" refers to SIM cards whose number is defined by Irancell's supervisory committee based on the order of digits and/or repetition of particular digits."
"What is the purpose of the ""e-Auction"" process?","The ""e-Auction"" process allows subscribers to submit bids for purchasing Golden SIM Cards through Irancell's auction portal. The SIM Card is transferred to the highest bidder after completing the registration and payment process."
Where can applicants enroll for the golden numbers auction?,"Applicants can enroll for the golden numbers auction through Irancell's portal at rond.irancell.ir, known as the Auction Portal."
"What is meant by ""Close to Auction End"" in Irancell's terms?","""Close to Auction End"" refers to the last 24 hours before the end of an auction."
"Define ""Suggested Opening Bid"" in the context of Irancell's auction.","""Suggested Opening Bid"" is the minimum price set by Irancell for the allocation of a Golden Number, and it may vary for each number."
"What is the ""Earnest Money Deposit"" in Irancell's auction process?","The ""Earnest Money Deposit"" is an amount paid by each subscriber via the Internet gateway at Irancell's portal to the nominated account. It is required to enter each auction and is also known as the ""Deposit."""
Who is eligible to participate in Irancell's auction for Golden Numbers?,All Irancell natural persons may participate by going to the Irancell auction portal and paying the preset Deposit.
What are the eligibility criteria for participants in the auction?,"Participants must be qualified under applicable law for performing transactions, ownership of assets, and financial rights. Additionally, participants must be at least 18 years old."
How can applicants under 18 years old participate in the auction?,Applicants under 18 years old may participate through their guardian or legal custodian. The Golden Number will be registered in the name of the guardian or custodian and can be used by the applicant under their control.
What is the minimum age requirement for participants in the auction?,Participants must be at least 18 years old to be eligible for the auction.
Can individuals who are not Irancell subscribers participate in the auction?,The text doesn't provide information on this. Please check the terms and conditions for clarification.
What is the significance of paying the preset Deposit for participants?,Paying the preset Deposit is a requirement for participants to enter the auction and purchase Golden Numbers.
Where can participants pay the preset Deposit for the auction?,Participants can pay the preset Deposit through the Irancell auction portal.
How is the registration of a Golden Number handled for applicants under 18 years old?,"For applicants under 18 years old, the Golden Number will be registered in the name of their guardian or custodian, and its use will be under their control."
Are there any exceptions to the minimum age requirement for participants?,The text doesn't provide information on exceptions. Please refer to the terms and conditions for details.
What is the purpose of having participants qualified under applicable law?,Having participants qualified under applicable law ensures that they are legally capable of performing transactions and have ownership of assets and financial rights.
How can subscribers enter their user account via the Irancell auction portal?,Subscribers can use their email address and password to enter their user account via the auction portal.
What is the minimum payment required for subscribers to enter the auction?,Each subscriber is required to pay at least 20 percent of the amount they wish to bid for the auction to enter.
What happens to the Earnest Money Deposit if a bidder is not among the top 3 winners?,"If a bidder is not among the top 3 winners, the Earnest Money Deposit will be refunded within 4 working days upon request."
How can a bidder request a refund for the Earnest Money Deposit?,"The bidder can request a refund by entering the auction portal and clicking on ""Request on reimbursement to the bank account"" if not among the top 3 winners."
What is the maximum number of Irancell SIM cards allowed per natural person?,Each natural person is allowed to register and activate at most 10 Irancell SIM cards using one National ID number.
What happens if a subscriber's SIM card ownership reaches the limit of 10 cards?,"The subscriber can register the SIM card for another person, and upon identification, the SIM card will be delivered to the new owner. Alternatively, the subscriber can deactivate one of their SIM cards."
What options does a bidder have if they win several bids simultaneously?,"The bidder can pay the full price for each SIM card, register them to another person, or deactivate one of their SIM cards."
Can the auction winner transfer their SIM card to another individual immediately?,"The winner, along with the first and second runners-up, cannot transfer their SIM cards until the auction is ended, and the SIM card is transferred or the auction is completely canceled."
What rights does the winner have regarding prepaid or postpaid Golden numbers?,The winner has the right to choose between prepaid or postpaid Golden numbers.
What is the deadline for the winner to pay the difference between the bid and the Deposit?,The winner is required to pay the difference within 48 hours after the auction results are announced.
What happens if the winner fails to pay the amount within the specified deadline?,"If the winner fails to pay within the deadline, their Deposit will be confiscated for the benefit of Irancell."
Can bidders cancel their bid at any time during the auction?,"Bidders, except for the top three winners, may cancel their bid only before the Close to Auction End time."
"What is the responsibility of the bidders during the ""Close to Auction End"" time?","During the ""Close to Auction End"" time, bidders are not allowed to cancel their bid, and if they win, they are responsible for payment."
"Who is responsible for paying taxes, duties, and similar charges in the auction?","The bidder is responsible for paying taxes, duties, and similar charges as per the applicable rules and regulations."
How is the Golden Number delivered to the winner after completing all steps of the auction?,The Golden Number will either be registered under the name of the winner or issued in an inactive form and posted to the winner's provided postal address.
What is the process for activating and delivering the auctioned SIM Card to the winner?,"The auctioned SIM Card is activated and delivered to the winner upon establishing identity, filling out a registration form, and providing a copy of the winner's ID documents."
What should bidders be cautious about when providing their information?,"Bidders must provide accurate information during the first sign-in, as the system uses this information for delivering the SIM card. Incorrect information may lead to issues, and Irancell is not responsible for missing SIM cards."
What is the governing law for participating in Irancell's e-auction for Golden Numbers?,The governing law is the laws and regulations of the Islamic Republic of Iran.
What agreements must subscribers observe when participating in the golden number auction?,Subscribers must observe the terms and conditions of the Master Subscriber Agreement and CRC Resolutions.
What does the subscriber waive by accepting the terms and conditions of the auction?,The subscriber waives the right to make any claims or objections regarding the terms and conditions of the auction.
What is the purpose of observing the terms and conditions of the Master Subscriber Agreement and CRC Resolutions?,Subscribers are required to observe these agreements since they are allowed to participate in the golden number auction using their own SIM Card number.
What does the subscriber undertake by paying the amount into Irancell's account?,The subscriber undertakes that the amount paid is only for purchasing the SIM Card and not for any other transactions.
What responsibility does the customer bear if unauthorized banking transactions are made?,The customer shall be personally responsible for all possible consequences before the judicial/non-judicial competent authorities if unauthorized banking transactions are made.
What responsibilities does the subscriber have regarding registration information and documents for buying prepaid SIM cards?,"The subscriber is responsible for the validity of all registration information and submitted documents, ensuring compatibility with personal details, and avoiding consequences arising from presenting false documents or incorrect information."
What age restriction applies to purchasing SIM cards from Irancell's online store?,Only applicants above 18 years old can purchase SIM cards.
Why is entering an accurate 10-digit postal code important during registration?,"An accurate postal code is required for registration, and it serves as the basis for providing Irancell gifts and services. It should correspond to the applicant's address, and utility bills can be referred to for obtaining the correct postal code."
What types of SIM cards can be obtained from Irancell's online store?,"The new generation of SIM cards can be used as Regular, Micro, and Nano SIM cards."
Who is responsible for paying the Internet connection fee during the registration process?,"The purchaser is responsible for paying the Internet connection fee, calculated based on the tariffs set by the Internet service provider company."
"What should a subscriber do in case of a stolen, lost, or damaged SIM card?","In the event of a stolen, lost, or damaged SIM card, the subscriber should immediately inform Irancell via the call center or by visiting one of the service centers or authorized dealers to block the SIM card. Failure to do so may make the SIM card owner responsible for any consequent misuse."
What action may Irancell take if a prepaid SIM card has no transaction within 90 days of activation?,"If a prepaid SIM card has no transaction within 90 days of activation (except for free usages), Irancell may, according to the terms and conditions set out under the Prepaid Subscriber's Contract, either hard suspend or deregister the SIM card, considering the account balance."
What is the process for regular delivery of purchased SIM Cards?,"When the postman arrives, the person under whose name the SIM Card is registered needs to hand over a valid identity document and a copy for identification purposes. After completing the process and making the payment, the selected SIM Card will be sent by regular mail within 7 working days to the subscriber's announced address."
What are the valid identity documents for Iranian nationals when receiving a SIM Card?,"Valid identity documents for Iranian nationals include a Smart national ID Card, a new birth certificate with a digital photo and National ID, or an old National ID Card with a smart National ID Card receipt."
What are the valid identity documents for foreign nationals when receiving a SIM Card?,"Valid identity documents for foreign nationals include a valid passport, Amayesh card, identity card, green card, or VIP residence permit. Other documents such as a visa are not acceptable."
What is required before receiving the purchased SIM Card during regular delivery?,"The hard copy of the registration form will be provided for the receiver's approval. The owner must read the information, sign the registration form with a fingerprint, and return it to the postman along with a copy of the National Card. The owner's presence is necessary for identification purposes."
What should the subscriber do if not present during regular delivery?,"If the subscriber is not present, they may call Irancell Call Center to ask for redelivery by dialing 700 from Irancell lines or 09377000000 from other lines."
What is the difference between regular and express delivery?,"Express delivery requires the customer to be present at the announced address within the selected time period; otherwise, the product will be sent through regular mail within 7 working days."
"Can customers cancel their SIM Card purchase, and what is the refund process?","Customers can cancel their order within 7 working days after placing it and ask for a refund. The amount will be returned to the Irancell Online Store Wallet, and customers can transfer it to their bank account or make another purchase. The related amount will be refunded to the bank account within 72 working hours."
"What payments are refundable, and what payments are not refundable?","Only payments made using a bank card connected to a centralized account are refundable. Payments made using a gift card or similar cards are not refundable, and Irancell takes no responsibility for returning them."
Is the delivery cost refunded if the purchase is canceled?,"No, the delivery cost will not be refunded if the purchase is canceled."
What is the maximum number of SIM Cards allowed for Iranian and non-Iranian natural persons?,"Iranian natural persons can register and activate a maximum of ten (10) SIM Cards, while non-Iranian natural persons are limited to three (3) SIM Cards, according to CRA instructions."
What responsibilities does the SIM Card owner have when transferring ownership to another person?,"The SIM Card owner should follow all Irancell's regulations when transferring ownership, and all responsibilities associated with the SIM Card remain with the owner until the legal transfer is complete."
What happens if multiple customers try to purchase the same SIM Card simultaneously?,"If multiple customers try to purchase the same SIM Card, it will be sent to the customer who makes the final payment first."
What does the undersigned acknowledge by signing the document?,"The undersigned acknowledges having read and understood the ""terms and conditions on purchasing Irancell SIM Card"" and the ""Subscribers Agreement."" They also accept responsibilities for potential legal or criminal misuses related to registering and using Irancell SIM Cards."
What instructions should the SIM Card owner follow when transferring ownership?,The SIM Card owner should follow all Irancell's regulations regarding the transfer of ownership.
How many SIM Cards can non-Iranian natural persons register and activate according to CRA instructions?,Non-Iranian natural persons can register and activate a maximum of three (3) SIM Cards according to CRA instructions.
Who is responsible for the validity of registration information when purchasing Irancell SIM Cards?,"The subscriber is responsible for the validity of all registration information and sent documents, ensuring compatibility with personal particulars, and avoiding consequences arising from presenting false documents or incorrect information."
What is the eligibility age for individuals to receive SIM Cards from Irancell?,Individuals over 18 years old are eligible to receive SIM Cards from Irancell.
"What information is required for registration, and why is it important to enter it accurately?","An accurate 10-digit ZIP code corresponding to the address is required for registration. This information is crucial for providing exclusive gifts and services, and utility bills can be referred to for obtaining the correct postal code."
"What is the dedicated call center number for the 0900 SIM card, and where can further information be found?",The dedicated call center number is 900 for the 0900 SIM card. Further information can be found in the manual.
"How is the subscription fee calculated for postpaid SIM Cards, and what is the payment period?","The subscription fee for postpaid SIM Cards is calculated for active days, and the amount is IRR 15,000 for a full period. The payment period for postpaid SIM Cards is two months, calculated from the beginning of the odd month to the end of the even month."
What codes can be used to monitor the SIM Card account for postpaid SIM Cards?,To inquire and increase consumption limit: *555*1*2*1#;To inquire and pay the periodical bill: *555*1*2*2# ;To inquire and pay the mid-term bill: *555*1*2*3# ;To inquire about bolt-ons balance: *555*1*4#
What happens if postpaid SIMs bills are not settled within one year of deactivation?,"If postpaid SIMs bills are not settled within one year of deactivation, the MSISDN will be vacated and de-registered."
What is the authorized credit limit for postpaid SIM subscribers?,"The authorized credit limit is the amount considered in postpaid SIM subscribers by default, allowing them to enjoy mobile services during the cycle as long as the initial airtime limit is not reached."
"Can subscribers define their authorized usage limit, and how is the final price calculated?","Yes, subscribers can define their authorized usage limit at the time of purchase based on their usage level, and the final price is calculated based on the chosen authorized usage limit."
"What happens if a subscriber fails to settle the bill within the defined limit, leading to SIM card deactivation?","If a subscriber fails to settle the bill within the defined limit, resulting in SIM card deactivation (soft/hard suspension) due to indebtedness, the indebtedness will be settled by the deposited amount, and the credit limit of the SIM card will be reset to regular status."
What documents are required for SIM card registration for Iranian nationals and foreign nationals?,"For Iranian nationals: National smart card, new birth certificate with a digital photo and National ID, or old National ID Card with a smart National ID Card receipt.<br>For foreign nationals: A valid passport, Amayesh card, asylum card, identity card, green card, or VIP residence permit with a validation date."
What is the process for SIM card delivery during regular delivery?,"When the postman arrives, the person under whose name the SIM Card is registered needs to hand over a valid identity document and a copy for identification purposes. The selected SIM card will be sent to the purchaser upon completion of processes and making the payment in a regular method (within 7 days) to the communicated address."
What should the subscriber do if not present during SIM card delivery in regular delivery?,"If the subscriber is not present, they should call Irancell call center (by dialing 700 from Irancell lines or 09377000000 from other lines) and ask for the delivery of the product by the postman again."
What is the process for SIM card delivery during express delivery?,"For express delivery, the subscriber needs to be present at the announced address within the selected time period; otherwise, the product will be sent through regular delivery within 7 days."
What is the note regarding potential delays in severe weather conditions?,The order may be delivered with delays in severe weather conditions such as snow and rain.
"How long do customers have to cancel their mobile SIM card purchase, and what is the refund process?","Customers can cancel their order within 7 business days after placing it (prior to receiving the SIM card). To request a refund, the purchaser can contact Irancell Call Center by dialing 700 from Irancell lines or 09377000000 from other lines or raise their request through online chat with Call Center agents. Refunds to the Irancell Online Store Wallet allow transferring the amount to a bank account or making another purchase. Refunding to the bank account takes 72 working hours."
What should customers do if they wish to cancel their mobile SIM card purchase?,"If customers wish to cancel their purchase, they should not take delivery of the purchased product from the postman, as the delivered SIM cards are not subject to the refund policy."
"What types of payments are refundable, and what types are not?","Only amounts paid using a bank card connected to a centralized account are refundable. Payments made using a gift card or similar cards are not refundable, and Irancell takes no responsibility for returning the same."
Is the cost of delivery refunded in case of purchase cancellation?,"No, the cost of delivery will not be refunded in case of purchase cancellation."
"Can customers cancel one product from a multi-product purchase, or must they cancel the entire order?","Customers cannot cancel one product from a multi-product purchase; they can only cancel the entire order. Otherwise, all purchased products will be delivered."
What is the maximum number of SIM Cards that Iranian natural persons can register and activate?,"According to CRA instructions, Iranian natural persons can register and activate a maximum of ten (10) SIM Cards."
How many SIM Cards can non-Iranian natural persons register and activate as per CRA instructions?,Non-Iranian natural persons can register and activate a maximum of three (3) SIM Cards according to CRA instructions.
What responsibilities are associated with the SIM Card owner until the ownership is legally transferred?,All responsibilities associated with the SIM Card shall lie with the SIM Card owner until the ownership of the SIM Card is legally transferred to another person.
What happens if a SIM card is in a purchase basket but is paid for by another person before you?,"If another person pays for a SIM card that is in your purchase basket before you, the SIM card will be sent to the person who has successfully made the final payment."
What is the first obligation for customers before purchasing a TD-LTE modem?,"Before purchasing any TD-LTE modem, customers should check Irancell network coverage in the intended area using the ""coverage map"" available on the Irancell website."
What must customers accept to use Irancell services and products?,Customers must accept the terms and conditions of the related service and the provided terms and conditions to use Irancell services and products.
What responsibility does the customer have regarding identity information when purchasing a service or product?,"The customer is responsible for entering accurate and correct identity information. If inaccurate information is entered, the central authentication system won't generate a reference number, making service registration and activation impossible. Irancell bears no responsibility in this case."
How is the payable amount stated in Irancell Online Store to be paid by the customer?,The customer shall pay the payable amount stated in Irancell Online Store via the available online payment gateway.
What does the customer need to do at the time of delivering the package by the postman?,The customer needs to provide the required documents to the postman at the time of delivering the package. Failure to do so may result in the postman avoiding package delivery.
What responsibility does the customer have regarding damaged packages received from the postman?,The customer is responsible for avoiding receiving damaged packages from the postman. Irancell is not responsible if the customer discovers that the package is damaged after receiving it.
"What information does the customer need to provide for registration, and why is it important?","The customer needs to provide the 10-digit postal code of their domicile for registration. Accurate information, including the postal code, is crucial, as it serves as the basis for providing all Irancell gifts and services."
Where should customers refer to get the accurate postal code of their place of residence?,"Customers should refer to their utility bills (fixed phone, water, electricity, or gas) to get the accurate postal code of their place of residence."
What obligation does Irancell have regarding the delivery of purchased products or services?,Irancell undertakes to deliver the purchased product or service to the customer within the specified period and in accordance with the terms and conditions stated on Irancell Online Store website.
How does Irancell deliver the purchased product to the customer?,Irancell shall post the purchased product to the address announced by the customer.
What happens if Irancell finds it impossible to provide a product or service after the customer has paid the price?,"In the event that the customer pays the price for a product or service, the provision of which is found to be impossible later, Irancell shall refund the amount to the customer."
Within what timeframe can customers cancel their order for a TD-LTE modem and SIM Card?,"Customers can cancel their order within 7 business days after placing it, prior to receiving the product."
How can customers request a refund for their canceled order?,"Customers can request a refund by contacting Irancell Call Center, either by dialing 707 from Irancell lines or 09377070000 from other lines, or by raising their request through online chat with Call Center agents."
What is the recommended timeframe for canceling a purchase to avoid any issues?,It's better to cancel the purchase as soon as possible to avoid any payment or waste of time.
What happens if customers cancel their order before receiving the product?,"If customers cancel their order before receiving the product, the amount will be returned to their Irancell Online Store Wallet."
What options do customers have once the amount is returned to their Irancell Online Store Wallet?,"Once the amount is returned to the Irancell Online Store Wallet, customers can transfer the amount to their bank account or use it to make another purchase."
What caution should customers take if they wish to cancel their purchase?,Customers should not take delivery of the purchased product from the postman if they wish to cancel their purchase.
Within what timeframe can customers ask for a refund after activating their TD-LTE only modem and SIM Card?,Customers can ask for a refund within 7 business days after activating their TD-LTE only modem and SIM Card.
What condition must be confirmed by the Technical Team of Network for a refund request to be approved?,"The Technical Team of Network must confirm the lack of appropriate coverage, which can be examined based on the registered address, for a refund request to be approved."
How can customers request a refund for their TD-LTE only modem and SIM Card?,"Customers can request a refund by contacting Irancell Call Center, either by dialing 707 from Irancell lines or 09377070000 from other lines, or by raising their request through online chat with Call Center agents."
What is the timeframe for returning a TD-LTE SIM Card after purchase?,Customers can return their TD-LTE SIM Card within 30 days after purchase.
How can customers request to return their TD-LTE SIM Card?,"Customers can request to return their TD-LTE SIM Card by contacting Irancell Call Center, either by dialing 707 from Irancell lines or 09377070000 from other lines, or by raising their request through online Call Center agents."
"Which type of card payments are eligible for a refund, and which are not?","Only amounts paid using a bank card connected to a centralized account can be refunded. Payments made using a gift card or other similar cards are not refundable, and Irancell undertakes no responsibility for returning the same."
Why is the return of dual-purpose modems (TD&FD Support) not possible?,The return of dual-purpose modems is not possible due to the provision of any mobile or fixed internet services.
What is the maximum number of SIM Cards that an Iranian natural person can register and activate?,An Iranian natural person can register and activate a maximum of ten (10) SIM Cards.
What is the maximum number of SIM Cards that a non-Iranian natural person can register and activate?,A non-Iranian natural person can register and activate a maximum of three (3) SIM Cards.
What should the SIM Card owner follow if they decide to transfer ownership to another person?,"If the SIM Card owner decides to transfer ownership to another person, they should follow all Irancell's regulations in this regard."
Where do all the responsibilities associated with the SIM Card lie until ownership is legally transferred to another person?,All the responsibilities associated with the SIM Card lie with the SIM Card owner until ownership is legally transferred to another person.
What restriction applies to the new owner in case of a change of ownership?,"In case of a change of ownership, the new owner will not be able to request a money-back guarantee."
What is required when the postman arrives for regular delivery of the SIM Card?,The person under whose name the SIM Card has been registered needs to hand over a valid identity document and a copy of the same for identification purposes.
What are the valid identity documents for Iranian nationals during regular delivery?,"Valid identity documents for Iranian nationals include Smart National ID Card, new birth certificate with a digital photo and National ID, or old National ID Card with the smart National ID Card receipt."
What are the valid identity documents for foreign nationals during regular delivery?,"Valid identity documents for foreign nationals include a valid passport, Amayesh card, identity card, green card, or VIP residence permit. Other documents such as a visa are not acceptable."
What should the Subscriber do if they are not present when the postman arrives for regular delivery?,"If the Subscriber is not present when the postman arrives, they may call Irancell Call Center to ask for delivery again. The numbers to dial are 707 (from Irancell lines) or 09377070000 (from other lines)."
What should the customer do if they choose express delivery for the product?,"If the customer chooses express delivery, they need to be present at the announced address within the selected time period. Otherwise, the product will be sent through regular delivery within 7 days."
What should the Customer do before purchasing a mobile modem?,"Before purchasing a mobile modem, the Customer should check Irancell network coverage in the intended area using the ""coverage map"" available on the Irancell website."
Why is it mentioned that returning a modem due to lack of coverage is not possible?,"Since maximum coverage is provided in all areas, and mobile modems can be used in various parts, returning a modem due to lack of coverage is not possible."
What is the Customer's responsibility in terms of identity information while purchasing a service or product?,"The Customer is responsible for entering accurate and correct identity information. Inaccurate information may prevent the central authentication system from generating a reference number, making service registration and activation impossible. Irancell has no responsibility in such cases."
How should the Customer pay the payable amount for the mobile modem?,The Customer should pay the payable amount stated in Irancell Online Store via the available online payment gateway.
What is the Customer's obligation at the time of delivering the package?,The Customer should prepare the required documents and provide them to the postman at the time of delivering the package. Failure to do so may result in the postman avoiding delivery.
What happens if the Customer receives a damaged package from the postman?,Irancell is not responsible if the Customer receives a damaged package. The Customer is obligated to avoid receiving damaged packages.
What information should the Customer provide at the time of placing an order?,The Customer should provide updated information and documents at the time of placing the order. Any discrepancy discovered at any stage gives Irancell the right to avoid delivering the product or activating the service.
What 10-digit information does the Customer need to provide?,The Customer needs to provide the 10-digit postal code of their present domicile to be registered. The accurate postal code is essential for providing Irancell gifts and services.
Where can the Customer find the accurate postal code of their residence?,"The Customer should refer to utility bills (fixed phone, water, electricity, or gas) to get the accurate postal code of their place of residence. Care should be taken while entering the postal code and other information as it is the basis for providing Irancell gifts and services."
Within what timeframe can customers cancel their order for a mobile modem?,"Customers can cancel their order for a mobile modem within 7 business days after placing the order, but before receiving the modem."
How can customers request a refund for their canceled order?,"Customers can request a refund by contacting Irancell Call Center. They can dial 700 from Irancell lines or 09377000000 from other lines. Alternatively, they may raise their request through online chat with Call Center agents."
Why is it advised to cancel the purchase as soon as possible?,It's advised to cancel the purchase as soon as possible to avoid any payment or waste of time.
What types of payments are eligible for a refund?,Only the amounts paid using a bank card connected to a centralized account are eligible for a refund. Payments made using a gift card or other similar cards are not refundable. Irancell undertakes no responsibility for returning the same.
What is the maximum number of SIM Cards that can be registered and activated for Iranian natural persons?,"According to CRA instructions, Iranian natural persons can register and activate a maximum of ten (10) SIM Cards."
How many SIM Cards are allowed for registration and activation for non-Iranian natural persons?,"Non-Iranian natural persons can register and activate a maximum of three (3) SIM Cards, as per CRA instructions."
What happens if a SIM Card owner decides to transfer ownership to another person?,"If a SIM Card owner decides to transfer ownership, they must follow all Irancell regulations in this regard. All responsibilities associated with the SIM Card remain with the owner until legal ownership transfer to another person is completed."
What is the primary feature of the Economical 4G TD-LTE Internet Packages?,"The primary feature of Economical Packages is that subscribers can use unlimited data, subject to the Fair Usage Policy."
What speed options are available for Economical Packages?,"Subscribers can purchase Economical Packages with different speeds, including up to 512 Kbps, up to 1 Mbps, up to 2 Mbps, up to 4 Mbps, or up to 8 Mbps."
What is the Fair Usage Policy for these packages?,"The Fair Usage Policy allows subscribers to use a specific amount of traffic from the chosen package. If exceeded, the speed drops to 256 Kbps."
Can a subscriber purchase more than one Economical Package simultaneously?,"No, only one economical package can be purchased simultaneously."
How can subscribers purchase Economical Packages?,Subscribers can purchase these packages by dialing the code *555# and using the MyIrancell superapplication.
What happens when both economical and limited data packages are purchased at the same time?,"If purchased simultaneously, the limited data package is used first, regardless of expiry dates, and the economical data package is used afterward."
What is the impact on speeds when using limited and economical packages simultaneously?,"The limited package has unlimited speed, while the speed of the economical package varies from 512 Kbps to 8 Mbps, depending on the purchased package."
What must the seller do before changing SIM card ownership?,The seller (initial SIM card owner) should delete all information stored on the SIM card before delivering it to the buyer.
What is the consequence if the seller does not delete information before transferring ownership?,"If the seller fails to delete information, they will be held responsible for any possible SIM card misuses in the future."
What is the requirement for SIM card ownership change to take place?,The original SIM card must be available for the ownership change process; using another new SIM card is not possible.
What happens if neither the seller nor the buyer is present at the chosen address during the delivery process?,"The SIM card ownership change process will be stopped, and they will be charged for future SIM card deliveries."
What occurs after filing an online request for SIM card ownership change?,"The SIM card will be soft suspended, and reactivation will take place once the request is successfully completed."
How is the SIM card delivered during the ownership change process?,The original seller SIM card is delivered to the buyer by the delivery and ID authentication personnel sent to the chosen address.
Can the ownership change process proceed with a new SIM card?,"No, the ownership change requires the use of the original SIM card; using a new SIM card is not possible."
